,comment_count,download_count,play_count,share_count,forward_count,whatsapp_share_count,desc
0,55,269,192389,78,0,8,<3 #luqi_stan #luqi
1,290,19,739885,66,0,8,#上推薦 #贊助 #抖音大大別限我流 #抖音大大還我流量 #我要很多流量 #灕兒 #以後叫我灕 #流量給我回來 #官方大大給我流量aaa #官方大大給我流量aaa #他媽還我流量 #mc實況主 #三尾木木犬 #閃閃美人魚 #阿斯 #冠冠 #禾卯 #水信玄餅 #冬瓜（瓜哥 #紅月 #小包小包 #瑞比特女王 太多了我不標記了好累(？ 不曉得我今天在做什麼ww(゜▽゜)做得好爛(？？？ 隨便做的(❁´ω`❁)勿噴ｷｬ━━━━(ﾟ∀ﾟ)━━━━!!
2,1,648,9636,1042,0,948,#亲爱的朋友早上好
3,21,1371,47695,1856,0,1384,#大家早上好😃🌞☀️
4,58,204,112630,96,0,10,#我要流量 #我要上推 #帮我按❤️加关注➕ #抖音大大求给流量ಥ_ಥ #抖音大大还我流量ㄚ #抖音爸爸求推荐 #抖音爸爸别限我流量 #上推告诉我喔 #桃子的呸呸貓 #小红书搬运 @tiktok  給我流量 去關注@userz5p1burw520 @dyvr157sh8tu @45633erti
5,26,1888,99988,2199,0,1564,#早上好#朋友#歌朋友
6,8,26,11040,128,0,91,吉祥的早晨，真诚的祝福，让美好的一天，充满幸福和快乐，早上好！
7,8,26,11040,128,0,91,吉祥的早晨，真诚的祝福，让美好的一天，充满幸福和快乐，早上好！
8,18,74,42417,1207,0,820,吉祥的早晨，真诚的祝福，让美好的一天，充满幸福和快乐，早上好！
9,641,159,478253,2787,0,119,感觉已经想像到以后大家有孩子后的景象了…… #陸抖搬運 #熱門
10,2,6,8353,315,0,231,早上好！
11,32,843,16086,735,0,584,早上好
12,7,851,14845,877,0,716,#早安 #早上好 #goodmorning
13,18,74,42417,1207,0,820,吉祥的早晨，真诚的祝福，让美好的一天，充满幸福和快乐，早上好！
14,2,6,8353,315,0,231,早上好！
15,20,2,4127,110,0,69,#早上好🌹
16,5,76,6092,142,0,130,#轮回#福德#人生#感悟#早上好
17,1,201,4808,182,0,157,#早上好#问候
18,4,348,7349,478,0,438,#2022.5.18#早上好
19,10,1,7442,197,0,150,大家早上好！🥰🥰，我搬来这边了，那里又被罚了。
